,player,map,times_played,observer_1_acc,observer_2_acc,observer_3_acc,observer_4_acc,observer_5_acc,observer_1,observer_2,observer_3,observer_4,observer_5,weighted_acc
0,unk,1,5,0.4418604651162791,0.37209302325581395,0.3953488372093023,0.37209302325581395,0.3488372093023256,0.026793268726920724,0.24783140182720426,0.24465814886004233,0.24783140182720426,0.2328857787586285,0.37423609712284134
1,a,1,0,0.5568181818181818,0.5568181818181818,0.5568181818181818,0.5568181818181818,0.5,0.6156776628668945,0.07998922250367736,0.18502062967707136,0.08028920016356791,0.039023284788788824,0.5546009497279096
2,b,1,0,0.782608695652174,0.6739130434782609,0.717391304347826,0.6739130434782609,0.6521739130434783,0.8139283796912281,0.03852397840072317,0.09114630804875079,0.03852397840072317,0.017877355458574783,0.7659577643281537
3,g,1,0,0.46,0.48,0.48,0.48,0.54,0.34244940266979307,0.15284194326234107,0.20102903740679243,0.15879469047586564,0.1448849261852077,0.48184410751771656
4,h,1,0,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.3905720589214947,0.14590437987048466,0.18781652280247513,0.1510439661140863,0.12466307229145913,0.3703703703703703
5,ss,1,1,0.2,0.2,0.2,0.2,0.15555555555555556,0.19555780785168747,0.20120103126984576,0.20362852888006674,0.20120103126984576,0.19841160072855435,0.19118170663428646
6,wk,1,2,0.65,0.55,0.55,0.55,0.5,0.9129693706719493,0.018877201998773508,0.038849778284218525,0.01885173749511191,0.010451911549946818,0.6407743414896976
7,wk,1,3,0.6276595744680851,0.43617021276595747,0.4574468085106383,0.43617021276595747,0.4148936170212766,0.5380530822371867,0.11035276269260717,0.1619084067659206,0.11002265525858285,0.07966309304570245,0.5409515543373381
8,wk,1,4,0.4936708860759494,0.4810126582278481,0.4936708860759494,0.4810126582278481,0.4810126582278481,0.30614840055563103,0.15362449802793673,0.30499596924965916,0.15362449802793673,0.08160663413883638,0.4887486629089277
9,wk,1,5,0.5205479452054794,0.4794520547945205,0.4931506849315068,0.4794520547945205,0.4931506849315068,0.7205778362040055,0.05749745817174588,0.13813877161188096,0.05749745817174588,0.026288475840621817,0.5113172706310208
10,wk,1,8,0.6376811594202898,0.7391304347826086,0.6956521739130435,0.7391304347826086,0.6666666666666666,0.2865580793455433,0.1673969987631617,0.2737921649234276,0.16757814989228823,0.1046746070755791,0.6905702016584494
11,Bad,1,2,0.64,0.5866666666666667,0.6,0.5866666666666667,0.5866666666666667,0.7376482686252471,0.05716841843429468,0.11777275105412961,0.05716841843429468,0.030242143452033746,0.6275782110074016
12,Bad,1,3,0.7078651685393258,0.7640449438202247,0.7865168539325843,0.7640449438202247,0.7191011235955056,0.8466532686119578,0.030521142054652485,0.07849458484636557,0.030521142054652485,0.013809862432371787,0.7176234087292525
13,SM1,1,0,0.7205882352941176,0.6470588235294118,0.6617647058823529,0.6470588235294118,0.6029411764705882,0.263826539734257,0.15635906885219253,0.34670528875796736,0.15635906885219253,0.07675003380339052,0.668170410088516
14,SM2,1,4,0.7380952380952381,0.6904761904761905,0.7023809523809523,0.6904761904761905,0.6071428571428571,0.9871039571015074,0.002535560588621411,0.006604626384393388,0.002524694010937154,0.0012311619145405285,0.7374571704927219
15,SM2,1,5,0.6868686868686869,0.6868686868686869,0.7171717171717171,0.6868686868686869,0.6464646464646465,0.8227662233360542,0.03596742775143022,0.08843651070918668,0.03594180281644361,0.016888035386885495,0.6888662362684853
16,SM3,1,0,0.6865671641791045,0.6716417910447762,0.6716417910447762,0.6716417910447762,0.582089552238806,0.6946087793247411,0.06728032727802172,0.13206444155592428,0.06711107765922783,0.038935374182085,0.6785223363318241
